[12:44:06] [INFO] received Windows console close event; shutting log-core down
[12:45:10] [INFO] received Windows console close event; shutting log-core down
[12:46:28] [INFO] received Windows console close event; shutting log-core down
[13:00:10] [INFO] received Windows console close event; shutting log-core down
[13:24:09] [INFO] received Windows console close event; shutting log-core down
[17:17:34] [INFO] received Windows console close event; shutting log-core down
[17:26:31] [INFO] received Windows console close event; shutting log-core down
[05/10/26 03:57:21] [INFO] received Windows console close event; shutting log-core down
[05/10/26 04:11:36] [INFO] received Windows console close event; shutting log-core down
[05/10/26 04:24:51] [INFO] received Windows console close event; shutting log-core down
[05/10/26 05:19:03] [INFO] received Windows console close event; shutting log-core down
[05/10/26 05:33:39] [INFO] received Windows console close event; shutting log-core down
[05/10/26 05:47:53] [INFO] received Windows console close event; shutting log-core down
[05/10/26 05:55:24] [INFO] received Windows console close event; shutting log-core down
[05/10/26 06:42:31] [INFO] received Windows console close event; shutting log-core down
[05/10/26 06:42:42] [INFO] received Windows console close event; shutting log-core down
[05/10/26 06:49:12] [INFO] received Windows console close event; shutting log-core down
[05/10/26 06:53:06] [INFO] received Windows console close event; shutting log-core down
[05/10/26 06:56:46] [INFO] received Windows console close event; shutting log-core down
[05/10/26 07:03:24] [INFO] received Windows console close event; shutting log-core down
[05/10/26 07:05:55] [INFO] received Windows console close event; shutting log-core down
[05/10/26 07:22:21] [INFO] received Windows console close event; shutting log-core down
[05/10/26 07:46:34] [INFO] received Windows console close event; shutting log-core down
[05/10/26 07:58:16] [INFO] received Windows console close event; shutting log-core down
[05/10/26 08:06:52] [INFO] received Windows console close event; shutting log-core down
[05/11/26 09:15:53] [INFO] received Windows console close event; shutting log-core down
[05/11/26 11:07:15] [INFO] received Windows console close event; shutting log-core down
[05/11/26 11:41:15] [INFO] received Windows console close event; shutting log-core down
[05/11/26 12:05:58] [INFO] received Windows console close event; shutting log-core down
[05/11/26 13:04:03] [INFO] received Windows console close event; shutting log-core down
[05/11/26 13:16:32] [INFO] received Windows console close event; shutting log-core down
[05/11/26 13:16:50] [INFO] received Windows console close event; shutting log-core down
[05/11/26 14:15:23] [INFO] received Windows console close event; shutting log-core down
[05/11/26 15:44:34] [INFO] received Windows console close event; shutting log-core down
[05/11/26 16:28:01] [INFO] received Windows console close event; shutting log-core down
[05/11/26 21:08:26] [INFO] received Windows console close event; shutting log-core down
[05/11/26 21:11:33] [INFO] received Windows console close event; shutting log-core down
[05/11/26 22:13:08] [INFO] received Windows console close event; shutting log-core down
[05/11/26 22:21:45] [INFO] received Windows console close event; shutting log-core down
[05/12/26 00:04:05] [INFO] received Windows console close event; shutting log-core down
[05/12/26 00:24:45] [INFO] received Windows console close event; shutting log-core down
[05/12/26 00:33:30] [INFO] received Windows console close event; shutting log-core down
[05/12/26 00:50:08] [INFO] received Windows console close event; shutting log-core down
[05/12/26 01:09:14] [INFO] received Windows console close event; shutting log-core down
[05/12/26 01:31:26] [INFO] received Windows console close event; shutting log-core down
[05/12/26 02:04:47] [INFO] received Windows console close event; shutting log-core down
[05/12/26 02:07:46] [INFO] received Windows console close event; shutting log-core down
[05/12/26 02:28:31] [INFO] received Windows console close event; shutting log-core down
[05/12/26 02:52:02] [INFO] received Windows console close event; shutting log-core down
[05/12/26 02:59:32] [INFO] received Windows console close event; shutting log-core down
[05/12/26 03:06:24] [INFO] received Windows console close event; shutting log-core down
[05/12/26 03:11:12] [INFO] received Windows console close event; shutting log-core down
[05/12/26 03:44:46] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:03:48] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:05:33] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:41:09] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:43:32] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:54:19] [INFO] received Windows console close event; shutting log-core down
[05/12/26 04:59:22] [INFO] received Windows console close event; shutting log-core down
[05/12/26 13:38:32] [INFO] received Windows console close event; shutting log-core down
[05/12/26 13:40:09] [INFO] received Windows console close event; shutting log-core down
[05/12/26 13:56:53] [INFO] received Windows console close event; shutting log-core down
[05/12/26 14:10:04] [INFO] received Windows console close event; shutting log-core down
[05/12/26 14:11:45] [INFO] received Windows console close event; shutting log-core down
[05/12/26 14:27:23] [INFO] received Windows console close event; shutting log-core down
[05/12/26 14:44:42] [INFO] received Windows console close event; shutting log-core down
[05/12/26 20:33:31] [INFO] received Windows console close event; shutting log-core down
[05/12/26 20:47:31] [INFO] received Windows console close event; shutting log-core down
[05/12/26 21:48:37] [INFO] received Windows console close event; shutting log-core down
[05/12/26 22:43:30] [INFO] received Windows console close event; shutting log-core down
[05/12/26 23:52:32] [INFO] received Windows console close event; shutting log-core down
[05/12/26 23:53:38] [INFO] received Windows console close event; shutting log-core down
[05/12/26 23:55:36] [INFO] received Windows console close event; shutting log-core down
[05/12/26 23:58:10] [INFO] received Windows console close event; shutting log-core down
[05/13/26 01:26:32] [INFO] received Windows console close event; shutting log-core down
[05/13/26 04:24:27] [INFO] received Windows console close event; shutting log-core down
[05/13/26 11:45:23] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:01:49] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:02:39] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:24:18] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:38:35] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:39:55] [INFO] received Windows console close event; shutting log-core down
[05/13/26 13:49:35] [INFO] received Windows console close event; shutting log-core down
[05/13/26 14:00:12] [INFO] received Windows console close event; shutting log-core down
[05/13/26 14:35:20] [INFO] received Windows console close event; shutting log-core down
[05/13/26 14:37:27] [INFO] received Windows console close event; shutting log-core down
[05/13/26 14:42:22] [INFO] received Windows console close event; shutting log-core down
